Expected Temp
0
28.8
28.5
28.5
28.5
28.6
28.7
28.7
28.7
28.8
28.8
28.8
28.8
28.8
28.8
28.8
28.8
29
28.8
28.8
29.1
29.7
30.3
30.8
31.4
32.2
32.9
33.7
34.8
35.7
36.7
37.9
38.8
40
41.1
42.2
43.3
44.3
45.5
46.4
47.4
48.4
49.3
50.1
51
51.7
52.4
53
53.5
54
54.3
54.8
55
55.3
55.5
55.7
55.9
56
56.1
56.2
56.3
56.4
56.5
56.5
56.6
56.6
56.8
56.8
56.9
56.9
57.1
57.1
57.2
57.3
57.4
57.4
57.5
57.5
57.6
57.7
57.6
57.7
57.7
57.7
57.7
57.8
57.8
57.8
58
58
58
57.9
57.9
57.9
58
58
57.9
57.6
57.3
56.7
55.9
54.9
53.9
52.8
51.7
50.5
49.4
48.2
47.2
46.2
45.2
44.1
43.1
42
40.9
39.8
38.8
37.5
36.3
35.1
33.7
32.4
31.2
30
28.7
27.5
26.3
25.2
24
22.6
21.5
20.4
19.2
18.1
17
16.1
15
13.8
12.9
11.8
10.8
9.8
8.7
7.7
6.8
5.9
5
4.3
3.5
2.9
2.3
1.9
1.4
1
0.7
0.4
0.1
0
-0.1
-0.4
-0.5
-0.7
-0.9
-1
-1
-1.4
-1.4
-1.5
-1.5
-1.5
-1.7
-1.7
-1.8
-1.9
-1.9
-1.9
-2
-2.1
-2
-2.1
-2.1
-2.2
-2.2
-2.2
-2.2
-1.6
-0.6
0
0.8
1.7
2.4
3.4
4.4
5.2
6.3
7.5
8.5
9.7
10.8
11.9
12.9
14.1
15.3
16.4
17.7
18.7
19.9
21.1
22.3
23.5
24.7
25.9
27
28.2
29.3
30.6
31.6
32.8
33.9
35.2
36.1
37.3
38.3
39.4
40.6
41.6
42.6
43.8
44.7
45.7
46.6
47.5
48.5
49.3
50.1
51
51.7
52.3
52.8
53.3
53.8
54.2
54.5
54.9
55.1
55.2
55.5
55.6
55.7
55.8
56
56.1
56.1
56.2
56.3
56.4
56.4
56.5
56.8
56.8
56.9
57
57
57.1
57.1
57.2
57.3
57.3
57.5
57.5
57.5
57.6
57.6
57.6
57.4
57.1
56.6
55.9
55.1
54.1
53.1
51.9
50.7
49.5
48.4
47.3
46.1
45
44
42.9
41.9
40.9
39.9
38.7
37.5
36.3
35.2
33.8
32.5
31.3
30.1
28.9
27.6
26.2
25
23.8
22.6
21.4
20.2
19
17.9
16.6
15.6
14.5
13.3
12.3
11.2
10.2
9
8
7
6
5.2
4.3
3.7
3
2.4
1.9
1.6
1.1
0.7
0.3
0.2
-0.1
-0.2
-0.4
-0.7
-0.8
-0.9
-1
-1.2
-1.3
-1.4
-1.5
-1.5
-1.6
-1.7
-1.9
-1.8
-1.8
-1.8
-2
-2.1
-2.1
-2.1
-2.2
-2.2
-2.3
-2.2
-2.2
-2.3
-2.3
-1.9
-1.2
0
0.6
1.4
2.2
3
4
4.9
5.9
7.2
8.1
9.3
10.4
11.5
12.6
13.9
14.9
16.1
17.3
18.4
19.6
20.8
22
23.1
24.2
25.4
26.5
27.6
28.8
30
31.1
32.3
33.4
34.5
35.6
36.8
37.7
38.9
39.9
41.1
42
43.1
44.1
45.1
45.9
46.9
47.7
48.5
49.4
50.3
51
51.7
52.3
53
53.5
53.9
54.4
54.7
54.9
55.3
55.4
55.6
55.8
55.9
56.1
56.2
56.2
56.3
56.4
56.4
56.5
56.7
56.6
56.8
56.9
56.9
57
57
57.1
57.1
57.2
57.3
57.4
57.4
57.4
57.5
57.5
57.5
57.5
57.3
56.9
56.1
55.4
54.4
53.4
52.3
51.1
50.1
48.8
47.6
46.5
45.4
44.5
43.3
42.2
41.2
40.2
39.1
38
36.8
35.5
34.3
33
31.9
30.5
29.3
28
26.7
25.4
24.3
23.1
21.8
20.7
19.4
18.2
17
15.9
14.7
13.8
12.6
11.6
10.5
9.5
8.4
7.4
6.3
5.4
4.6
3.8
3.1
2.6
2
1.5
1.1
0.8
0.4
0.2
0
-0.3
-0.4
-0.5
-0.7
-0.9
-1
-1.2
-1.2
-1.4
-1.5
-1.5
-1.6
-1.6
-1.7
-1.9
-1.9
-1.9
-1.9
-2
-2.1
-2.1
-2.1
-2.2
-2.3
-2.3
-2.3
-2.4
-2.4
-2.3
-1.4
-0.5
0.4
1.1
1.8
2.7
3.7
4.6
5.7
6.7
7.7
8.8
10
11.2
